target, id, NCounties, name, npop, nc, voteDiff, reportedMargin, dilutedMargin, estMvrs, haveMvrs, mvrsExtra, estRisk, 
false, 184, [Denver], County Court Judge - Denver Blackett, 1104271, 369425, 132277, 35.81%, 11.98%, 59, 258, 199, 00.0%, 
false, 185, [Denver], County Court Judge - Denver Cherry, 1104271, 369425, 138046, 37.37%, 12.50%, 57, 258, 201, 00.0%, 
false, 186, [Denver], County Court Judge - Denver Faragher, 1104271, 369425, 136028, 36.82%, 12.32%, 58, 258, 200, 00.0%, 
false, 187, [Denver], County Court Judge - Denver Goble, 1104271, 369425, 134099, 36.30%, 12.14%, 59, 258, 199, 00.0%, 
false, 188, [Denver], County Court Judge - Denver Pallares, 1104271, 369425, 131216, 35.52%, 11.88%, 60, 258, 198, 00.0%, 
false, 189, [Denver], County Court Judge - Denver Rodarte, 1104271, 369425, 134672, 36.45%, 12.20%, 58, 258, 200, 00.0%, 
false, 190, [Denver], County Court Judge - Denver Rudolph, 1104271, 369425, 121922, 33.00%, 11.04%, 65, 258, 193, 00.0%, 
false, 191, [Denver], County Court Judge - Denver Schwartz, 1104271, 369425, 128740, 34.85%, 11.66%, 61, 258, 197, 00.0%, 
false, 192, [Denver], County Court Judge - Denver Simonet, 1104271, 369425, 136684, 37.00%, 12.38%, 57, 258, 201, 00.0%, 
false, 193, [Denver], County Court Judge - Denver Spahn, 1104271, 369425, 137323, 37.17%, 12.44%, 57, 258, 201, 00.0%, 
false, 194, [Gunnison], County Court Judge - Gunnison, 11126, 11126, 4617, 41.50%, 41.50%, 16, 49, 33, 00.0%, 
false, 195, [Routt], County Court Judge - Routt, 33261, 16628, 6419, 38.60%, 19.30%, 36, 175, 139, 00.0%, 
false, 196, 02, Crawford Water Conservancy District Ballot Issue 7B, 45791, 912, 486, 53.29%, 01.06%, 685, 56, -629, 75.1%, 
true, 198, [Crowley], Crowley County Commissioner - District 3, 1729, 1729, 967, 55.93%, 55.93%, 12, 15, 3, 00.9%, 
false, 199, [Larimer], Crystal Lakes Fire Protection District Ballot Issue 6F, 458224, 1197, 814, 68.00%, 00.18%, 4101, 121, -3980, 90.2%, 
true, 200, [Custer], Custer County Board of County Commissioners - District 2, 3932, 3932, 851, 21.64%, 21.64%, 32, 34, 2, 02.3%, 
false, 201, [Custer], Custer County Board of County Commissioners - District 3, 3932, 3932, 1236, 31.43%, 31.43%, 22, 34, 12, 00.4%, 
false, 203, [Delta], Delta County Commissioner - District 3, 19786, 19746, 5479, 27.75%, 27.69%, 25, 80, 55, 00.0%, 
true, 204, [Delta], Delta County Court - Zeerip, 19786, 19746, 1820, 09.22%, 09.20%, 78, 80, 2, 02.7%, 
true, 205, [Denver], Denver Ballot Issue 2Q, 1104271, 368208, 38403, 10.43%, 03.48%, 208, 258, 50, 01.3%, 
false, 206, [Denver], Denver Ballot Issue 2R, 1104271, 368208, 3706, 01.01%, 00.34%, 2170, 258, -1912, 65.9%, 
false, 207, [Denver], Denver Downtown Development Authority Ballot Issue 6A, 1104271, 1699, 823, 48.44%, 00.07%, 9776, 258, -9518, 91.2%, 
false, 208, [Denver], Denver Initiated Ordinance 308, 1104271, 366622, 50541, 13.79%, 04.58%, 158, 258, 100, 00.3%, 
false, 209, [Denver], Denver Initiated Ordinance 309, 1104271, 366622, 91313, 24.91%, 08.27%, 87, 258, 171, 00.0%, 
false, 210, [Denver], Denver Public Schools Ballot Issue 4A, 1104271, 366622, 169746, 46.30%, 15.37%, 46, 258, 212, 00.0%, 
false, 211, [Denver], Denver Referred Question 2S, 1104271, 368208, 97088, 26.37%, 08.79%, 81, 258, 177, 00.0%, 
false, 212, [Denver], Denver Referred Question 2T, 1104271, 368208, 4579, 01.24%, 00.41%, 1756, 258, -1498, 59.7%, 
